"Group" "sort" "x" "y"
1 0 120.92478091 24.529842553
1 1 120.92648019 24.533527104
1 2 120.92829263 24.537834204
1 3 120.92953894 24.540532717
1 4 120.93065828 24.543115579
1 5 120.93145324 24.544301194
1 6 120.93260285 24.546277704
1 7 120.93407202 24.548991717
1 8 120.93543517 24.551654561
1 9 120.93631984 24.553235874
1 10 120.93792585 24.555686235
1 11 120.93939948 24.558384755
1 12 120.94132672 24.561446614
1 13 120.94366021 24.565647526
1 14 120.94563522 24.568141101
1 15 120.94756307 24.570476523
1 16 120.94977441 24.573538368
1 17 120.95107858 24.575302853
1 18 120.95196037 24.576630512
1 19 120.95363042 24.578624175
1 20 120.95505119 24.580739195
1 21 120.95593715 24.582478679
1 22 120.95708946 24.584176606
1 23 120.95805344 24.585837179
1 24 120.96003841 24.588639380
1 25 120.96162629 24.591545205
1 26 120.96265633 24.592753103
1 27 120.96446231 24.595281417
1 28 120.96733949 24.599232400
1 29 120.96894344 24.601975341
1 30 120.97098566 24.604466059
1 31 120.97212018 24.606697249
1 32 120.97336812 24.608980281
1 33 120.97574272 24.612431031
1 34 120.97711255 24.614791796
1 35 120.97915520 24.617489992
2 0 120.26032974 23.030199168
2 1 120.25700981 23.025838384
2 2 120.25537891 23.022920570
2 3 120.25285517 23.019028478
2 4 120.25077992 23.015277049
2 5 120.24989575 23.012980597
2 6 120.24892687 23.006877156
2 7 120.24858057 23.004754208
2 8 120.24823429 23.002631260
2 9 120.24788581 23.000905938
2 10 120.24768340 22.998651096
2 11 120.24758684 22.996694961
2 12 120.24745447 22.994738745
2 13 120.24728649 22.992749216
2 14 120.24715736 22.990196333
2 15 120.24702464 22.988306403
2 16 120.24682620 22.985355460
2 17 120.24617288 22.980513051
2 18 120.24590408 22.977329762
2 19 120.24541876 22.974476881
2 20 120.24436324 22.971157355
2 21 120.24362815 22.968170792
2 22 120.24250464 22.964220919
2 23 120.24176585 22.961897120
2 24 120.24084978 22.959274262
2 25 120.24032272 22.957515010
2 26 120.23891325 22.953530778
2 27 120.23821148 22.951008365
2 28 120.23690541 22.947753782
2 29 120.23619652 22.946523948
2 30 120.23534460 22.945260277
2 31 120.23445616 22.944129001
2 32 120.23314147 22.942432212
2 33 120.23100588 22.940333616
2 34 120.22861918 22.938366529
2 35 120.22361828 22.936684757
2 36 120.22004101 22.936402065
2 37 120.21653457 22.936252218
3 0 120.58320952 23.654704952
3 1 120.58329114 23.653212218
3 2 120.58330218 23.652278655
3 3 120.58286212 23.650994752
3 4 120.58240952 23.650149435
3 5 120.58202266 23.649406611
3 6 120.57800849 23.641696979
3 7 120.57709884 23.639189927
3 8 120.57579894 23.634318466
3 9 120.57537988 23.632101364
3 10 120.57526119 23.629400587
3 11 120.57518271 23.627365210
3 12 120.57506061 23.625721105
3 13 120.57511003 23.623607782
3 14 120.57464891 23.621688845
3 15 120.57422914 23.620161322
3 16 120.57351242 23.618476388
3 17 120.57178038 23.615575466
3 18 120.57047304 23.612563458
3 19 120.57020786 23.611888639
3 20 120.56998786 23.611233022
3 21 120.56963579 23.610208596
3 22 120.56941714 23.609143601
3 23 120.56933190 23.608038038
3 24 120.56939702 23.607264186
3 25 120.56940081 23.606105281
3 26 120.56932924 23.605366557
3 27 120.56918355 23.604673076
3 28 120.56898777 23.604218055
3 29 120.56842277 23.603557494
3 30 120.56796814 23.603079029
3 31 120.56744014 23.602383330
3 32 120.56695458 23.601440401
3 33 120.56638098 23.600251597
3 34 120.56607217 23.599595725
3 35 120.56567588 23.598530228
4 0 120.56567655 23.598325540
4 1 120.56550372 23.596851286
4 2 120.56519722 23.595499472
4 3 120.56486583 23.594729190
4 4 120.56484455 23.594679722
4 5 120.56462434 23.594105972
4 6 120.56395420 23.593166946
4 7 120.56333101 23.592020819
4 8 120.56347291 23.591292527
4 9 120.56414745 23.589884541
4 10 120.56447615 23.587699570
4 11 120.56478836 23.585853746
4 12 120.56501404 23.584930984
4 13 120.56497446 23.584263952
4 14 120.56474113 23.583314256
4 15 120.56445308 23.582837619
4 16 120.56424298 23.582466498
4 17 120.56389603 23.582183403
4 18 120.56295079 23.581911360
4 19 120.56164588 23.580957016
4 20 120.56109271 23.579798434
4 21 120.56044165 23.576758375
4 22 120.56002854 23.573273951
4 23 120.55853301 23.568843733
4 24 120.55696426 23.562812766
4 25 120.55721347 23.554318313
4 26 120.55604376 23.542210289
4 27 120.55363632 23.529565449
4 28 120.55359284 23.529337093
4 29 120.55337192 23.528020038
4 30 120.55304186 23.526918867
4 31 120.55278748 23.526303229
4 32 120.55202625 23.524866494
4 33 120.55180302 23.524262955
4 34 120.55146759 23.523563004
4 35 120.54849320 23.515396056
5 0 120.42552879 23.552597769
5 1 120.42677182 23.552717044
5 2 120.42799260 23.552844357
5 3 120.42919606 23.552977916
5 4 120.43038706 23.553116028
5 5 120.43157071 23.553256812
5 6 120.43275184 23.553398481
5 7 120.43393549 23.553539157
5 8 120.43512651 23.553677232
5 9 120.43632999 23.553810737
5 10 120.43755070 23.553937974
5 11 120.43879376 23.554057154
5 12 120.43984907 23.554113066
5 13 120.44099441 23.554204875
5 14 120.44221620 23.554327022
5 15 120.44350051 23.554474038
5 16 120.44483379 23.554640632
5 17 120.44620215 23.554821068
5 18 120.44759189 23.555010056
5 19 120.44898930 23.555202130
5 20 120.45021730 23.555370383
5 21 120.45143089 23.555547426
5 22 120.45263582 23.555729757
5 23 120.45383792 23.555913784
5 24 120.45504286 23.556096006
5 25 120.45625646 23.556273011
5 26 120.45748457 23.556441299
5 27 120.45866805 23.556616645
5 28 120.45984281 23.556731898
5 29 120.46102226 23.556808507
5 30 120.46221964 23.556867921
5 31 120.46344818 23.556931405
5 32 120.46472123 23.557020591
5 33 120.46614477 23.557175124
5 34 120.46759907 23.557358015
5 35 120.46905337 23.557540892
5 36 120.47047692 23.557695385
6 0 120.46181509 23.556909778
